ds,yhat,yhat_lower,yhat_upper
2023-01-01,181238.68108431142,171108.33971404601,191004.68590822213
2023-02-01,171741.5490685531,161369.16610102562,181947.3048133854
2023-03-01,167388.39984356807,156318.21680575333,176825.22228815284
2023-04-01,170829.05296790123,160185.23932997577,181161.65760100694
2023-05-01,182487.8946085464,172264.52608222692,192832.0045297234
2023-06-01,166968.7625800086,157290.2584636589,176561.6721393939
2023-07-01,162992.92862836324,152551.34663311773,172862.87701201873
2023-08-01,159963.8536795756,149568.81465281968,169616.25823190942
2023-09-01,158999.89401754062,149242.43824946185,168420.2557467888
2023-10-01,156154.96726870435,145791.74203216028,166155.55843600252
2023-11-01,164918.6783294917,155357.7247547316,174506.96734885572
2023-12-01,159325.14198176868,149594.17948070093,169264.7072191797
2024-01-01,161765.8861078765,151947.17889236804,171262.64532943655
2024-02-01,159809.17402508282,149451.73020689335,169509.67865098047
2024-03-01,162099.39967168952,151859.4011397967,171675.8912675381
2024-04-01,172645.9058212112,162521.645039125,181530.57020735682
2024-05-01,192349.5729599084,182240.42393327094,201962.14019010955
2024-06-01,199617.53226189016,189200.96842517224,209258.68991978912
2024-07-01,217240.47033486425,208433.08776211465,227626.73707145502
2024-08-01,237720.96835068613,228072.40184543782,247638.40069722908
2024-09-01,260672.33301329068,251523.41987550177,270586.38367121725
2024-10-01,280841.08185649815,271261.5057284895,290678.49822656723
2024-11-01,313692.50822780706,302989.2891440467,324037.888023334
2024-12-01,331404.1103463596,321423.19607889745,340924.8212903506
2025-01-01,358183.6871363562,348519.9892302163,368385.97058630124
2025-02-01,372403.2871028723,362401.82913595403,381895.2245817648
2025-03-01,389274.10161490116,379690.44117145374,398856.5370822736
2025-04-01,428169.64317791496,418403.7158595373,437968.72960951173
2025-05-01,474922.1426459935,465307.15935358976,484664.4696588949
2025-06-01,495229.7369326658,485253.3981392896,504508.2358020031
2025-07-01,525629.3475013414,514458.7679273483,535352.4502426601
2025-08-01,558013.5214454792,547900.2658153079,568961.457130644
2025-09-01,592727.8158214554,582102.5497281165,604824.0150079147
2025-10-01,624321.7542045825,610294.3331233794,638452.8628790249
2025-11-01,668879.3163781435,651835.0268716865,687145.7309017812
2025-12-01,697910.8637429645,677345.9934798853,717875.8441475728
2026-01-01,736303.1776450005,711098.7077857566,762359.6569766486
2026-02-01,762374.1673176102,731183.7715495612,793394.3550544931
2026-03-01,790048.7901143837,753786.1303338446,826826.506286839
2026-04-01,829055.6238021344,790324.4487061066,872612.7163067893
2026-05-01,875526.2641800822,830039.9226327324,927220.555842786
2026-06-01,895749.1358348395,843592.4366652603,951746.5385539453
2026-07-01,926218.2162564516,867247.3644984213,988729.2409453718
2026-08-01,958730.4727605741,894869.0544976136,1032193.4673667208
2026-09-01,993441.6447513531,919864.5150910417,1074563.1140880166
2026-10-01,1025075.9694007536,943878.5903519996,1112933.8102021995
2026-11-01,1069572.6195593344,979754.7470668176,1167857.2322194998
2026-12-01,1098546.4301711826,999730.9983865881,1204506.585409027
2027-01-01,1136793.2499103164,1030535.6984913511,1249072.8612805575
2027-02-01,1162965.6240429727,1048809.1698653367,1287589.8539815934
2027-03-01,1190830.0932631823,1063627.4021711326,1324614.1420438201
2027-04-01,1229940.252576865,1094749.58431296,1375437.0742084067
2027-05-01,1276117.971159891,1128261.8595059782,1432117.8755883004
2027-06-01,1296268.345279379,1139710.6775600333,1463250.4222881861
2027-07-01,1326811.3881962833,1160054.3000110667,1500868.1723264016
